smiles	interact_with_adenosine
CC(C)NNC(=O)C1=CC=NC=C1	0
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1	1
CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1	0
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1	0
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\C(F)(F)COC1=CC=CC=C1	0
CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC(=CC=C1)C(F)(F)F	0
CC(C)OC(=O)CNC1=CC=CC(CN(CC2=CC=C(C=C2)N2C=CC=N2)S(=O)(=O)C2=CC=CN=C2)=N1	0
CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1	0
CC(C)OC1=CC=C(C=C1C#N)C1=NC(=NO1)C1=C2CC[C@H](NCCO)C2=CC=C1	0
CC(C)OP(F)(=O)OC(C)C	0
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	0
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	0
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O	0
CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C	0
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	0
CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1	0
CC(CC1=CC=C2OCOC2=C1)NCC(O)C1=CC=C(O)C(O)=C1	0
CC(CC1=CC=CC=C1)NN	0
CC(CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1	0
CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1	0
CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2	0
CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	0
CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C	0
CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C	0
CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1	0
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1	0
CC(C[N+](C)(C)C)OC(C)=O	0
CC(C[N+](C)(C)C)OC(N)=O	0
CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2	0
CC(N)C(=O)NC1=C(C)C=CC=C1C	0
CC(N)C(O)C1=CC=CC=C1	0
CC(N)CC1=CC=C(O)C=C1	0
CC(N)CC1=CC=CC=C1	0
CC(N)COC1=C(C)C=CC=C1C	0
CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1	0
CC(NC(NC1=CC=NC=C1)=NC#N)C(C)(C)C	0
CC(NN)C1=CC=CC=C1	0
CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F	0
CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	0
CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1	0
CC(OCCN1CCCCCC1)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	0
CC1(C)CCC(CN2CCN(CC2)C2=CC(OC3=CC4=C(NC=C4)N=C3)=C(C=C2)C(=O)NS(=O)(=O)C2=CC(=C(NCC3CCOCC3)C=C2)[N+]([O-])=O)=C(C1)C1=CC=C(Cl)C=C1	0
CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F	0
CC1(C)OC(=C(C1=O)C1=CC=CC(F)=C1)C1=CC=C(C=C1)S(N)(=O)=O	0
CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1	0
CC12CC3CC(C)(C1)CC(N)(C3)C2	0
CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O	0
CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1	0
CC1=C(C2=NOC(=N2)C2=CC(O)=C(O)C(=C2)[N+]([O-])=O)C(Cl)=[N+]([O-])C(C)=C1Cl	0
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	0
CC1=C(C=C(C#N)C(=O)N1)C1=CN2C=CN=C2C=C1	0
CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C1=CC=C(C=C1)C(O)=O	0
CC1=C(C=CC=C1)C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCCC(O)C2=CC(Cl)=CC=C12	0
CC1=C(C=CC=C1)N1CCN(CCC2=NN=C3CCCCN23)CC1	0
CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F	0
CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O	0
CC1=C(CC2=CC=C(S2)C2=CC=C(F)C=C2)C=C(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	0
CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1	0
